ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,Here you go. I’ll stop now but please…… come to bali!! We miss you! We love you! We need you!!,False,None,CvvOTwjN5Ky,0
2,"Can we get a half baked with MORE cookie dough pieces?? We need more of that, there’s only like 5 pieces in each. PLEASE",False,None,CvvOTwjN5Ky,0
3,Give the land back,False,None,CvvOTwjN5Ky,10
4,"A group funded by Ben & Jerry’s founder Ben Cohen is running a media campaign against U.S. military support for Ukraine. Ben & Jerry’s are still selling in russia, therefore, funding the genocide of Ukrainian nation.",False,None,CvvOTwjN5Ky,12
5,Half baked is the best ice cream out there,False,None,CvvOTwjN5Ky,1
6,Me camping in my backyard 😂,False,None,CvvOTwjN5Ky,0
7,❤️❤️❤️,False,None,CvvOTwjN5Ky,0
8,Yum,False,None,CvvOTwjN5Ky,0
9,"Camping on stolen, indigenous land? When will you return your land to the Abenaki?",False,None,CvvOTwjN5Ky,1
10,The Coosuk Abanati nation has agreed they will except their land back from you. Why won't you respond?,False,None,CvvOTwjN5Ky,3
11,Ice cream makes it good!❤️,False,None,CvvOTwjN5Ky,0
12,"Half baked, just like your marketing team.",False,None,CvvOTwjN5Ky,2
13,Insane that ben and Jerry's continues to promote it's ice cream while it produces and profits from living and working on what they call stolen land. Why does anyone support their business?,False,None,CvvOTwjN5Ky,3
14,Still operating your multi million dollar for profit business on stolen land? When will Ben and Jerry's take action and return their land to the natives??? 😫😫😫😫,False,None,CvvOTwjN5Ky,8
15,#boycottbenandjerrys because their owners @unilever won't stop giving #Putin money,False,None,CvvOTwjN5Ky,2
16,Here you go. I’ll stop now but please…… come to bali!! We miss you! We love you! We need you!!,False,None,CvvOTwjN5Ky,0
17,"Can we get a half baked with MORE cookie dough pieces?? We need more of that, there’s only like 5 pieces in each. PLEASE",False,None,CvvOTwjN5Ky,0
18,Give the land back,False,None,CvvOTwjN5Ky,10
19,Half baked is the best ice cream out there,False,None,CvvOTwjN5Ky,1
20,Me camping in my backyard 😂,False,None,CvvOTwjN5Ky,0
21,"Camping on stolen, indigenous land? When will you return your land to the Abenaki?",False,None,CvvOTwjN5Ky,1
22,❤️❤️❤️,False,None,CvvOTwjN5Ky,0
23,Yum,False,None,CvvOTwjN5Ky,0
24,The Coosuk Abanati nation has agreed they will except their land back from you. Why won't you respond?,False,None,CvvOTwjN5Ky,3
25,Ice cream makes it good!❤️,False,None,CvvOTwjN5Ky,0
26,"A group funded by Ben & Jerry’s founder Ben Cohen is running a media campaign against U.S. military support for Ukraine. Ben & Jerry’s are still selling in russia, therefore, funding the genocide of Ukrainian nation.",False,None,CvvOTwjN5Ky,1
