ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,A bottle always comes out to eat with us,False,None,Cs8sJQCRBXh,3
2,"Wow stole my sushi, Ice cream, and pasta videos that’s really sad 😞. You guys could have least paid me for stealing all my ideas and videos😉🤷🏽",False,None,Cs8sJQCRBXh,0
3,One of the best advertisement I have ever seen!👍😅,False,None,Cs8sJQCRBXh,4
4,it’s 🍅 🔥 ❤️,False,None,Cs8sJQCRBXh,0
5,❤️❤️❤️❤️❤️hienz yes the 1st thing I used to ask when ever I go at restaurant,False,None,Cs8sJQCRBXh,1
6,A dream come true😍,False,None,Cs8sJQCRBXh,1
7,Y’all are nailing it. Impressive ⚡️⚡️,False,None,Cs8sJQCRBXh,2
8,I can relate,False,None,Cs8sJQCRBXh,1
9,Hell yeah!,False,None,Cs8sJQCRBXh,0
10,Question is: where can I buy it in glass bottle 🤔,False,None,Cs8sJQCRBXh,0
11,🔥,False,None,Cs8sJQCRBXh,1
12,Hmm these look based on true events and ideas that @therealketchupguy posts about…🤔,False,None,Cs8sJQCRBXh,1
13,Muss da komischerweise sofort an @gartentante_41 denken 😁🍅,False,None,Cs8sJQCRBXh,1
14,@genni_craig I need that ketchup tattoo 😮‍💨,False,None,Cs8sJQCRBXh,0
15,@ketchupfailures only Heinz always!!,False,None,Cs8sJQCRBXh,1
16,I love you.,False,None,Cs8sJQCRBXh,0
17,what a crazy tattoo ginger girl!!!,False,None,Cs8sJQCRBXh,3
18,"The two condiments I use most on foods are Frank's Hot Sauce or Hunts ketchup/catsup, however you want to spell it. Sorry folks, I'm the outsider here. Rest at ease though, as I do consume Heinz products, including the ketchup occasionally.",False,None,Cs8sJQCRBXh,0
19,So true ❤️❤️❤️,False,None,Cs8sJQCRBXh,1
20,"❤️ We do the same in Italia 🇮🇹 ! Hard to find Heinz here, so we stash a bottle in our bags and squirt when no one is looking! If they do have the packets, they charge £0.20 each!! Love the true stories…!",False,None,Cs8sJQCRBXh,0
21,🔥😍,False,None,Cs8sJQCRBXh,1
22,"@_landi5_ oh look, it’s me. And in the truck and at work 😂",False,None,Cs8sJQCRBXh,3
23,@heinz 🤩,False,None,Cs8sJQCRBXh,1
24,You need to sponsor me! …I mean these people!!! (Which happens to include…me),False,None,Cs8sJQCRBXh,0
25,"Soo funny! I play the fridge guy in this, thanks for the work! ♥️ #loveheinz",False,None,Cs8sJQCRBXh,0
26,My baby👶🏽❤️ thanks! #loveheinz,False,None,Cs8sJQCRBXh,0
27,♥️♥️♥️,False,None,Cs8sJQCRBXh,1
28,Honestly I’m a Heinz type of Nigga,False,None,Cs8sJQCRBXh,0
29,People who are asking “who?” They are too young lol,False,None,Cvr5nymNLqg,0
