ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,"Sounds good, millions of trees sounds a lot, keep them growing 🌳",True,Environmental,CvmHxh_sTa9,2
2,I live in Brazil. I want Work for Nestlé.,False,Environmental,CvmHxh_sTa9,2
3,Sjukt bra!,False,Environmental,CvmHxh_sTa9,1
4,😍,False,Environmental,CvmHxh_sTa9,1
5,and the water?,False,Environmental,CvmHxh_sTa9,2
6,😍,False,Environmental,CvmHxh_sTa9,3
7,👏,False,Environmental,CvmHxh_sTa9,2
8,we dont have water for you,False,Environmental,CvmHxh_sTa9,6
9,Тъпаци,False,Environmental,CvmHxh_sTa9,2
10,👏,False,Environmental,CvmHxh_sTa9,1
11,"Hey #nestle, how long will it be before you have complete food production under control? The variety in the supermarket is still too big for me.",False,Environmental,CvmHxh_sTa9,3
12,🌱,False,Environmental,CvmHxh_sTa9,1
13,Fabriquem o damak no Brasil @nestle_br,False,Environmental,CvmHxh_sTa9,1
14,Hey @nestle how will I buy shares with you?,False,Environmental,CvmHxh_sTa9,0
15,ulf is gay,False,Environmental,CvmHxh_sTa9,1
16,Are the ingredients 100% grown naturally @nestle because every time I have a small thing from you guys I’m not feeling 100%,False,Environmental,CvmHxh_sTa9,0
17,doubleup.,False,None,CvhLFa6gHxA,0
18,I recently bought a product and wasn’t satisfied,False,None,CvhLFa6gHxA,1
19,Ruth Wakefield would be proud!!! 😍,False,None,CvhLFa6gHxA,1
20,Good food good life ❤️,False,None,CvhLFa6gHxA,1
21,❤️,False,None,CvhLFa6gHxA,1
22,just made them on tuesday!,False,None,CvhLFa6gHxA,0
23,I like your hot chocolate 🍫 🔥,False,None,CvhLFa6gHxA,1
24,business Driven,False,None,CvhLFa6gHxA,0
25,@friends Phoebe’s grandma’s recipe,False,None,CvhLFa6gHxA,3
26,@nestle Brown Butter Choc Chip Cookie CoffeMate BEST CREAMER EVER!!,False,None,CvhLFa6gHxA,0
27,"So I understand your company that's known Stauffer, same company as Nestlé you've been investigated to what was found out you use ABORTED BABYS in your Meats, foods & drinks. Do you not know people stopped eating your foods because of this? Are you going to stop doing what you've been doing illegally or have you been stopped putting Himans in your Foods & drinks?",False,None,Cv_p_3BtGIt,1
28,Super ❤️,False,None,Cv_p_3BtGIt,1
29,Do nestle still sell the vice versa chocolates?’,False,None,Cv_p_3BtGIt,0
30,❤️❤️,False,None,Cv_p_3BtGIt,1
31,❤️,False,None,Cv_p_3BtGIt,2
32,@nestle_br Cuide de sua reputação. Não se associe com mídia de fake news e ataques à democracia e que está sob risco de ser CASSADA em processo movido pelo MPF. Faça como mais de 120 empresas responsáveis já fizeram #DesmonetizaJovemPan já,False,None,Cv_p_3BtGIt,0
33,Such a pleasure to represent Nestlè Professional at world stage 🙌,False,None,Cujftm5MZwx,5
34,Don't big food companies need content writers to help their publicity?,False,None,Cujftm5MZwx,2
35,Congrats to all,False,None,Cujftm5MZwx,2
36,💯,False,None,Cujftm5MZwx,1
37,great,False,None,Cujftm5MZwx,2
38,❤️,False,None,Cujftm5MZwx,3
39,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻☕️☕️☕️👏🏻👏🏻👏🏻👏🏻👏🏻,False,None,Cujftm5MZwx,2
40,👏👏👏,False,None,Cujftm5MZwx,2
41,The straw in the peanut punch is non plastic I get why to help the environment but did your team test it first. I just had one pls try and lmk if this will work for us,False,None,Cujftm5MZwx,1
42,🔥,False,None,Cujftm5MZwx,1
43,Nestle for Egypt ita very bad,False,None,Cujftm5MZwx,0
44,Violating human rights,True,social,CuEdpVgt-s-,13
45,"We as Nestle do enslave people for our products, but women a little less so we are good guys right? Right?",False,social,CuEdpVgt-s-,6
46,Not empowering the kids that work for you,False,social,CuEdpVgt-s-,1
47,Is this not the company that treats human humans rights violations like to do list,False,social,CuEdpVgt-s-,47
48,Is this a paid actor???,False,social,CuEdpVgt-s-,9
49,"This all fake they don't help anybody, this company is destroying and under pay for the coffee or cacao you consume",False,social,CuEdpVgt-s-,6
50,Do these people know that they exploited or are still exploiting their ancestors in secret?,False,social,CuEdpVgt-s-,1
51,Всі ми пам'ятаємо що ви робили в 1990-х,False,social,CuEdpVgt-s-,4
52,Great,False,social,CuEdpVgt-s-,1
53,I love the new direction!!! Im currently attempting to learn swedish and would love to be a translator for product reviews just volunteer work lol,False,social,CuEdpVgt-s-,1
54,I need a job please,False,social,CuEdpVgt-s-,1
55,❤️,False,social,CuEdpVgt-s-,0
56,Parabéns❤️❤️❤️❤️❤️,True,social,CsNSq8hNWlK,1
57,Motiverande,False,social,CsNSq8hNWlK,1
58,Beautiful video! ❤️ #happymothersday,False,social,CsNSq8hNWlK,1
59,Berikande,False,social,CsNSq8hNWlK,0
60,💯💯💯💯💯,False,social,CsNSq8hNWlK,0
61,Wow,False,social,CsNSq8hNWlK,1
62,DM bakınız.,False,social,CsNSq8hNWlK,0
63,#Queroleitemoço,False,social,CsNSq8hNWlK,2
64,You steal the water of the poor Pakistani villagers and the villagers who can’t afford the water you stole from them are forced to drink polluted water.,False,social,CsNSq8hNWlK,31
65,Out of Pakistan like the bolivians kick you out for trying steal the rain,False,social,CsNSq8hNWlK,8
66,Pakistan fully supported Osama bin Laden after 9/11,False,social,CsNSq8hNWlK,0
67,"Pakistan tried very hard to spread Poverty in America , This is unforgettable crime of Pakistan",False,social,CsNSq8hNWlK,2
68,@hebernovais singing 💙🎼,False,social,CsNSq8hNWlK,0
69,Quero leite condensado com a foto do melhor presidente! 🇧🇷😍,True,workplace,CrVFTL6Nd0w,0
70,Parabéns pela homenagem ao nosso presidente 👏,False,workplace,CrVFTL6Nd0w,2
71,Parabéns Nestle pela homenagem feita ao nosso eterno presidente.,False,workplace,CrVFTL6Nd0w,4
72,❤️,False,workplace,CrVFTL6Nd0w,1
73,#euqueroleitemoço,False,workplace,CrVFTL6Nd0w,5
74,#euqueroleitemoço,False,workplace,CrVFTL6Nd0w,0
75,"😂 vim só ri dos minions, sempre acreditando nas fakenews do Bozo😂",False,workplace,CrVFTL6Nd0w,1
76,"É impressionante o poder de enganar as pessoas, com uma propagandinha dessas. A empresa que mais, Sempre explorou sem qualquer reposição de recursos, várias fontes naturais, fica posando de empresa amiga da natureza e das pessoas. Responsabilidade é o que vocês têm! Vamos ver quando a água começar a acabar, sendo vocês grandes detentores de vários aquíferos, o que irão fazer com as pessoas.",False,workplace,CrVFTL6Nd0w,3
77,#euqueroleitemoço,False,workplace,CrVFTL6Nd0w,7
78,#euqueroleitemoço,False,workplace,CrVFTL6Nd0w,3
79,Quero leite condensado do Bolsonaro 🇧🇷,False,workplace,CrVFTL6Nd0w,5
80,#euqueroleitemoço,False,workplace,CrVFTL6Nd0w,2
81,Bolsonaro doesn't even come down with condensed milk.,False,workplace,CrVFTL6Nd0w,0
82,@omarzinhooficial 😂😂😂,False,workplace,CrVFTL6Nd0w,0
83,Another Instagram feed just reminded me of your horrific baby formula campaign in the 70s. Disgusting.,False,workplace,CrVFTL6Nd0w,0
84,"And effect on water due to Nestlé Waters, shall e talk about it ?",False,None,Cwmw1TrMJfp,0
85,Happy walking and swimming !,False,None,Cwmw1TrMJfp,0
86,So many lake swims with my pup last week!,False,None,Cwmw1TrMJfp,1
87,❤️,False,None,Cwmw1TrMJfp,1
88,"ESTOY INTENTANDO PONER UNA RECLAMACIÓN, no me deja enviaros mensajes y el formulario de la página no me deja enviarla 🫠",False,None,Cwmw1TrMJfp,0
89,👏👏👏👏👏,False,None,Cwmw1TrMJfp,1
90,Arrêtez là déforestation,False,None,Cwmw1TrMJfp,0
91,Everything about this screams aesthetic 😍,False,None,Cv7JmmjtX4D,3
92,you're doing awesome w the content gango ❤️🔥!,False,None,Cv7JmmjtX4D,3
93,I wish my drinks flowed with my attire like that...,False,None,Cv7JmmjtX4D,2
94,Love itt!!! 😍😍❤️❤️❤️🔥,False,None,Cv7JmmjtX4D,2
95,Im feeling this guys style 💯 🔥,False,None,Cv7JmmjtX4D,2
96,Fit check APPROVED! 🔥🔥🔥,False,None,Cv7JmmjtX4D,2
97,Ok! I see you,False,None,Cv7JmmjtX4D,2
98,😍👏,False,None,Cv7JmmjtX4D,2
99,Amazing content,False,None,Cv7JmmjtX4D,2
100,Very nice 🔥🔥🔥,False,None,Cv7JmmjtX4D,3
101,Outfit 🔥🔥🔥🔥🔥,False,None,Cv7JmmjtX4D,2
102,Love this!!!🔥🔥,False,None,Cv7JmmjtX4D,2
103,Fresh 🔥,False,None,Cv7JmmjtX4D,2
104,Ayyye @mrcepin Siempre en flow🔥,False,None,Cv7JmmjtX4D,1
105,DUROOOO🔥😍,False,None,Cv7JmmjtX4D,2
106,La cabra ⚡️👑📍the best,False,None,Cv7JmmjtX4D,1
107,Love it 🔥,False,None,Cv7JmmjtX4D,2
108,Omq! What you doing in the nestle page??? 😮 @mrcepin,False,None,Cv7JmmjtX4D,1
109,Duro!,False,None,Cv7JmmjtX4D,1
110,🤩❤️‍🔥 Bravissimo!!!!,False,None,Cv7JmmjtX4D,2
111,wow 🤩,False,None,Cv7JmmjtX4D,2
112,I see you!!!! 🔥🔥🔥🔥,False,None,Cv7JmmjtX4D,1
113,❤️,False,None,Cv7JmmjtX4D,2
114,The best! 🔥,False,None,Cv7JmmjtX4D,2
115,🔥🔥🔥🔥🔥 yes bro !,False,None,Cv7JmmjtX4D,1
