ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,does he come with the shoes,False,None,CwAYNz0Mjqv,221
2,I like New Balance because the logo is my initials. I feel like I have monogrammed clothes on 😂,False,None,CwAYNz0Mjqv,14
3,this man so fine GOOD GAWD,False,None,CwAYNz0Mjqv,263
4,pair of shoes that got the NB on em make u stare n see em!,False,None,CwAYNz0Mjqv,35
5,We wear em proudly in the DMV. Happy to see the love expand the lands.,False,None,CwAYNz0Mjqv,97
6,What style are the first ones when he got out of the car?,False,None,CwAYNz0Mjqv,3
7,i like that lil dance,False,None,CwAYNz0Mjqv,66
8,Okay but what what are the shoes he’s wearing?,False,None,CwAYNz0Mjqv,8
9,he need a haircut desperately,False,None,CwAYNz0Mjqv,10
10,Book & Music Exchange being the icon that she is 💜,False,None,CwAYNz0Mjqv,5
11,I will tie his shoes for free every day,False,None,CwAYNz0Mjqv,2
12,"Yooooo, this goes crazy!🙌",False,None,CwAYNz0Mjqv,0
13,i need him so bad,False,None,CwAYNz0Mjqv,6
14,I know Jack Harlow got a Kroger plus card from Louisville ✌🏻,False,None,CwAYNz0Mjqv,17
15,He proudly involves his bestfriend in every part of his life and his career. He is a superstar now and he did not forget about his bestfriend like many people do. Really proud of this guy 👏 you are gold @jackharlow,False,None,CwAYNz0Mjqv,8
16,Hometown hero in every way ❤️‍🔥🫶🏼,False,None,CwAYNz0Mjqv,5
17,@newbalance what model are they on his feet?,False,None,CwAYNz0Mjqv,1
18,🔥🔥🔥🔥🔥,False,None,CwAYNz0Mjqv,12
19,Dope💫,False,None,CwAYNz0Mjqv,1
20,My guys! 🤞🏼,False,None,CwAYNz0Mjqv,2
21,They so expensive in South Africa now... 🤧,False,None,CwAYNz0Mjqv,7
22,daddy,False,None,CwAYNz0Mjqv,0
23,New Balance to the moon,False,None,CwAYNz0Mjqv,1
24,Please restock toddler pink 990s,False,None,CwAYNz0Mjqv,0
25,🔥🔥🔥,False,None,CwAYNz0Mjqv,1
26,What shoe is he wearing,False,None,CwAYNz0Mjqv,1
27,Zers balance,False,None,CwAYNz0Mjqv,0
28,Himothy back at it again baby,False,None,CwAYNz0Mjqv,1
29,🔥🔥🔥🔥,False,None,CwAYNz0Mjqv,2
30,So cute❤️❤️❤️,False,None,CwAYNz0Mjqv,2
31,❤️,False,None,CwAYNz0Mjqv,2
32,@drcortez05 swoon ❤️,False,None,CwAYNz0Mjqv,0
33,😍😍😍😍,False,None,CwAYNz0Mjqv,0
34,@jackharlow can I get a sz 8 in women plz 🫶🏻,False,None,CwAYNz0Mjqv,0
35,slayyyyt,False,None,CwAYNz0Mjqv,0
36,That boi jack wasn’t playin when he said he’ll do anything new balance say,False,None,CwAYNz0Mjqv,8
37,Puttin Bonnycastle on the map!,False,None,CwAYNz0Mjqv,0
38,👏👏👏👏👏👏,False,None,CwAYNz0Mjqv,0
39,🔥🔥,False,None,CwAYNz0Mjqv,1
40,jackman if you cut that hair i swear to god,False,None,CwAYNz0Mjqv,0
41,🔥🔥🔥🔥🔥,False,None,CwAYNz0Mjqv,0
42,Hella yea putting head first on,False,None,CwAYNz0Mjqv,0
43,👏👏👏,False,None,CwAYNz0Mjqv,0
44,Hm,False,None,CwAYNz0Mjqv,1
45,Bro probably rizzed the girls too,False,None,CwAYNz0Mjqv,1
46,@meghanmarie_94 should have asked for that picture,False,None,CwAYNz0Mjqv,0
47,3 Wo.Gefällt 48 MalAntworten,False,None,CwAYNz0Mjqv,0
48,@brieuc_de_streel_,False,None,CwAYNz0Mjqv,0
49,"I just confirmed 2BTC from @theresafx.coach and I was able to monitor my account progress myself all to his good works, keep it up.",False,None,CwAYNz0Mjqv,1
50,@jackharlow making Kentucky proud 💙❤️🐎,False,None,CwAYNz0Mjqv,0
51,Love it,False,None,CwAYNz0Mjqv,0
52,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,False,None,CwAYNz0Mjqv,0
53,los amooooooooooo,False,None,CwAYNz0Mjqv,0
54,dade,False,None,CwAYNz0Mjqv,0
55,🔥,False,None,CwAYNz0Mjqv,0
56,🔥🔥,False,None,CwAYNz0Mjqv,0
57,Lit 4 the city 🔥,False,None,CwAYNz0Mjqv,0
58,carti better,False,None,CwAYNz0Mjqv,0
59,🔥❤️,False,None,CwAYNz0Mjqv,0
60,mhmm,False,None,CwAYNz0Mjqv,0
61,🔥🔥🔥🔥,False,None,CwAYNz0Mjqv,0
62,😍😍😍😍,False,None,CwAYNz0Mjqv,0
63,🔥🔥🔥🔥🔥,False,None,CwAYNz0Mjqv,0
64,Iconic 🔥,False,None,CwAYNz0Mjqv,0
65,Jack🔥,False,None,CwAYNz0Mjqv,0
66,Soooooo fine babe,False,None,CwAYNz0Mjqv,0
67,🔥🔥,False,None,CwAYNz0Mjqv,0
68,🔥🔥🔥🔥👏,False,None,CwAYNz0Mjqv,0
69,@theux.sccx tu kakakakak,False,None,CwAYNz0Mjqv,0
70,❤️❤️❤️,False,None,CwAYNz0Mjqv,0
71,🔥🔥🔥🔥,False,None,CwAYNz0Mjqv,0
72,W,False,None,CwAYNz0Mjqv,0
73,New balance ❤❤❤,False,None,CwAYNz0Mjqv,0
74,😭❤️,False,None,CwAYNz0Mjqv,0
75,Love this 🔥,False,None,CwAYNz0Mjqv,0
76,NB. >,False,None,CwAYNz0Mjqv,0
77,Promote it on 👉🏿 @kentucky._fams,False,None,CwAYNz0Mjqv,0
78,best🔥,False,None,CwAYNz0Mjqv,0
79,👏🏼,False,None,CwAYNz0Mjqv,1
80,leave my man alone in these comments,False,None,CwAYNz0Mjqv,2
81,"If @jackharlow gets me a signed pair of NB’s, I’ll wear it forever 👀",False,None,CwAYNz0Mjqv,2
82,1906r my fav🔥,False,None,CwAYNz0Mjqv,2
83,@schmoll.sophia,False,None,CwAYNz0Mjqv,0
84,3 Wo.Gefällt 1 MalAntworten,False,None,CwAYNz0Mjqv,0
85,502 sh*t,False,None,CwAYNz0Mjqv,1
86,🔥🔥🔥🔥,False,None,CwAYNz0Mjqv,2
87,⛲️🤍,False,None,CwAYNz0Mjqv,1
88,ay no😭😭😭😭😭😭😭 estas precioso,False,None,CwAYNz0Mjqv,2
89,MY MAN MY MAN 😫,False,None,CwAYNz0Mjqv,2
90,Periodt,False,None,CwAYNz0Mjqv,1
91,Omg! He’s so cute!,False,None,CwAYNz0Mjqv,1
92,You guys need to hire me for these videos,False,None,CwAYNz0Mjqv,5
93,Jack please,False,None,CwAYNz0Mjqv,1
94,te amo te extraño,False,None,CwAYNz0Mjqv,1
95,❤️❤️❤️❤️❤️❤️,False,None,CwAYNz0Mjqv,1
96,man o man,False,None,CwAYNz0Mjqv,1
