ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,get a job big nigga,True,social,CwxqCNTLzSi,0
2,"i don’t remember the last time our society told girls to sit down, dont eat that, sit up strait.",False,social,CwxqCNTLzSi,0
3,To be fair boys are told the same things.,False,social,CwxqCNTLzSi,0
4,Keep stuffing nonsense into their minds. Really wonderful,False,social,CwxqCNTLzSi,0
5,Cool. But were Transgenders even considered for this campaign?,False,social,CwxqCNTLzSi,0
6,"Yes!!!! We allow our daughter to be herself, explore the world, and be an athlete! 💃🏽🙏🏽",False,social,CwxqCNTLzSi,0
7,😍❤️,False,social,CwxqCNTLzSi,0
8,Awesome 👏,False,social,CwxqCNTLzSi,0
9,"I wish I had this representation & message when I was a kid, this is so awesome! 🔥",False,social,CwxqCNTLzSi,0
10,"Beautiful, love this! 😍",False,social,CwxqCNTLzSi,0
11,What a great message! I love this so much 🔥🙌🏽,False,social,CwxqCNTLzSi,0
12,Love this message! 🙌💪🏽,False,social,CwxqCNTLzSi,0
13,🔥🔥🔥🔥🔥🔥,False,social,CwxqCNTLzSi,0
14,Such an fun project!! Thank you so much for having me! 🥊,False,social,CwxqCNTLzSi,0
15,What a great project to be a part of. Thank you @nike,False,social,CwxqCNTLzSi,0
16,LOVE THIS!!!! AND YOU @bluevalentineestrada ! 💙💙💙,False,social,CwxqCNTLzSi,0
17,Do it for yourself 💪🏼💖,False,social,CwxqCNTLzSi,0
18,Love this🙌🏾,False,social,CwxqCNTLzSi,0
19,❗️❗️🖤🖤❗️❗️,False,social,CwxqCNTLzSi,0
20,Yes @arianna_monarez2014 😍😍😍😍,False,social,CwxqCNTLzSi,0
21,Love this 👊🏾,False,social,CwxqCNTLzSi,0
22,❤️,False,social,CwxqCNTLzSi,0
23,🤍,False,social,CwxqCNTLzSi,0
24,So proud of you @ry_biehler,False,social,CwxqCNTLzSi,0
25,@chantel.nydile.navarro @bluevalentineestrada 🔥🔥🔥 yesss,False,social,CwxqCNTLzSi,0
26,@ry_biehler yes!!!!!😍😍😍😍😍,False,social,CwxqCNTLzSi,0
27,Us also: Don't tell us what to do! 😡,False,social,CwxqCNTLzSi,0
28,Fo reaaaaal 🔥,False,social,CwxqCNTLzSi,0
29,EXCELLENT,False,social,CwxqCNTLzSi,0
