ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,I'm tired of seeing brands and influencers wasting food and drinks and other items in the aim of marketing.,False,None,CvfAOApNdUM,1
2,It’s driving me crazy that the triangle ‘A’ looks like it never gets covered… 😂🙈 I feel like it’s missing out. 😂,False,None,CvfAOApNdUM,8
3,omfg,False,None,CvfAOApNdUM,2
4,This sound scraches my brain. I like it 🥛,False,None,CvfAOApNdUM,0
5,This is so cool and oddly soothing! We love oatly!!! 🧡🌾,False,None,CvfAOApNdUM,0
6,Parker 😻 and I LOVE OATLY! ❤️,False,None,CvfAOApNdUM,0
7,Love this jug 👏😍,False,None,CvfAOApNdUM,1
8,Amazing ❤️❤️❤️,False,None,CvfAOApNdUM,2
9,Fin!!👏,False,None,CvfAOApNdUM,0
10,😍,False,None,CvfAOApNdUM,1
11,What was the conclusion ? 🤔,False,None,CvfAOApNdUM,1
12,So cool ❤️,False,None,CvfAOApNdUM,2
13,Yes @bigjugsabi 👏👏👏👏,False,None,CvfAOApNdUM,1
14,hahaha @tale.essen,False,None,CvfAOApNdUM,1
15,Hahahaha you guys are mental exactely as I love you ❤️,False,None,CvfAOApNdUM,3
16,"I gave it a trial and i'm still amazed at the result my $2,500 turned $20,200 within a week @madison_exchange_1",False,None,CvfAOApNdUM,0
17,Your teachings and trade setup guidance are amazing @madison_exchange_1 I find it really lucky to be part of this great group. Am able to get my bearings now and seeing big improvement in my trading. Thanks a lot @madison_exchange_1,False,None,CvfAOApNdUM,0
18,"Its a privilege coming across @madison_exchange_1 for a start I invested $3,000 and after 5 days I got my profit of 55,500, her precision and trustworthiness can’t be equated",False,None,CvfAOApNdUM,0
19,"How wish I came across this opportunity long ago it would have been huge now. You've corrected that step now, thanks for your good works @Madison_exchange_1",False,None,CvfAOApNdUM,0
20,"It's time we stood up for change in the current environmental crisis and promoted products in away that doesn't impact the environment. There's already enough waste in the world, don't create more to sell your product.",False,None,CvfAOApNdUM,0
21,😍,False,None,CvfAOApNdUM,0
22,🔥,False,None,CvfAOApNdUM,0
23,🔥,False,None,CvfAOApNdUM,0
24,😮,False,None,CvfAOApNdUM,0
25,😍,False,None,CvfAOApNdUM,0
26,😮,False,None,CvfAOApNdUM,0
27,@rach.e.lle dxffss cqssqqqqqqqqsdsssqzs3,False,None,CvfAOApNdUM,0
28,Yrfxvsd´yc3d,False,None,CvfAOApNdUM,0
29,Fd.s,False,None,CvfAOApNdUM,0
30,Dgve,False,None,CvfAOApNdUM,0
31,Ftv2swx´7gf,False,None,CvfAOApNdUM,0
32,Ff,False,None,CvfAOApNdUM,0
33,p,False,None,CvfAOApNdUM,0
34,"If Vikings had drunk your Oatly milk, they would've most likely had massive health issues long-term. Your Oatly ""milk"" has the glycemic load of a Coke and as much oil as a serving of French fries. Great marketing for an unhealthy product though, I'll give you that 👍🏻.",False,None,CvpWQMgKpwe,0
35,Of course they didn't. Mostly because the Viking Age and the Middle Ages aren't the same thing...,False,None,CvpWQMgKpwe,4
36,My god you all are hilarious.,False,None,CvpWQMgKpwe,5
37,Which locations though…there’s a whole big world out there!,False,None,CvpWQMgKpwe,1
38,Please confirm no Vikings were harmed in the making of this video - concerned viewer here.,False,None,CvpWQMgKpwe,2
39,Loved being on the set and my girl just hogged the soft serve to her self 🤣🥰,False,None,CvpWQMgKpwe,0
40,Im still screaming to this day,False,None,CvpWQMgKpwe,2
41,Soft serve my lady 😂,False,None,CvpWQMgKpwe,5
42,As a viking reenactor I funny endorse oatly soft serve at all events! (Ps my viking children would definitely eat it too!),False,None,CvpWQMgKpwe,0
43,"I saw your product at target, I thought if you guys. I did not buy it... If it had more protein I would",False,None,CvpWQMgKpwe,2
44,"As a reenacter myself, I think this is hilarious 😂",False,None,CvpWQMgKpwe,2
45,Masterpiece 👏👏👏,False,None,CvpWQMgKpwe,8
46,Any chance Oatly softserve is available in Ireland please? 🍦,False,None,CvpWQMgKpwe,0
47,@oatly I can confirm this is legit! 💯🦈💚,False,None,CvpWQMgKpwe,2
48,Had the @oatly soft serve at @alltogethernow.ie this weekend. That stuff is the business!! 😋 😋,False,None,CvpWQMgKpwe,0
49,This is a lovely theme and one of the best ads we've seen lately!! Hah 😍👏,False,None,CvpWQMgKpwe,0
50,More awesomeness!,False,None,CvpWQMgKpwe,2
51,Wow. You guys are f_ _ _ in’ nuts. I love you and your product. ❤️,False,None,CvpWQMgKpwe,1
52,Is our copywriters team on vacation?! I miss the “…more” 😂 🫶❤️,False,None,CvpWQMgKpwe,0
53,Now that’s how you make an advert!,False,None,CvpWQMgKpwe,0
54,4 Wo.Gefällt 15 MalAntworten,False,None,CvpWQMgKpwe,0
55,4 Wo.Gefällt 4 MalAntworten,False,None,CvpWQMgKpwe,0
56,Great Ad 😍,False,None,CvpWQMgKpwe,1
57,Genius,False,None,CvpWQMgKpwe,1
58,⚔️🌴🛡️,False,None,CvpWQMgKpwe,0
59,Ahahahahaha amazing 😂,False,None,CvpWQMgKpwe,1
60,Lol 👌,False,None,CvpWQMgKpwe,2
61,4 Wo.Gefällt 2 MalAntworten,False,None,CvpWQMgKpwe,0
62,Love it❣❣❣,False,None,CvpWQMgKpwe,0
63,Brilliant👏,False,None,CvpWQMgKpwe,0
64,👏🏼👏🏼👏🏼,False,None,CvpWQMgKpwe,2
65,😂😂😂,False,None,CvpWQMgKpwe,1
66,Dopest commercial ever,False,None,CvpWQMgKpwe,0
67,😂😂🙌,False,None,CvpWQMgKpwe,1
68,@oskaryngling,False,None,CvpWQMgKpwe,1
69,ah and i see instead of a flake it comes with a sword,False,None,CvpWQMgKpwe,1
70,😂😂,False,None,CvpWQMgKpwe,0
71,😂😂🙌,False,None,CvpWQMgKpwe,0
72,@oatly,False,None,CvpWQMgKpwe,0
73,😂😂,False,None,CvpWQMgKpwe,0
74,😮,False,None,CvpWQMgKpwe,0
75,@hannahmallion this is the ice cream thing I was talking about! 😍,False,None,CvpWQMgKpwe,0
76,haha :D,False,None,CvpWQMgKpwe,0
77,今までのoatlyのCMで1番興味深いものでした。出演していた戦士のように株価もうちょっと頑張って欲しい,False,None,CvpWQMgKpwe,0
