ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,"Idk if it's just me, but I'm doing the Party pack size 🔥",False,None,CviCbZXp5pD,21
2,are your products halal,False,None,CviCbZXp5pD,3
3,"Need to make opening bigger, can't stand using scissors to cut corners back. I can't be the only one who notices this",False,None,CviCbZXp5pD,3
4,yo oreo packages float?? 😳 this changes things,False,None,CviCbZXp5pD,54
5,sounds like a plan🫡,False,None,CviCbZXp5pD,12
6,Proof right here. Oreos can be a “life savior” in every condition 🤣. Imma try this in my pool.,False,None,CviCbZXp5pD,3
7,Tão dizendo no Tik Tok que vocês são Satânicos.,False,None,CviCbZXp5pD,3
8,make Oreo Toothpaste or my teeth will go yellow,False,None,CviCbZXp5pD,5
9,5 Wo.Gefällt 1 MalAntworten,False,None,CviCbZXp5pD,0
10,Need to get this package when in pool 📝,False,None,CviCbZXp5pD,1
11,Oreo is godddd,False,None,CviCbZXp5pD,1
12,Oreo is haram ?,False,None,CviCbZXp5pD,1
13,This is how I’m chilling in the pool 😎😎,False,None,CviCbZXp5pD,4
14,"No language can express my feelings for the love I got for you. All I can say is “thank you” you have been a great help to me $6,500 in my wallet already @miller_themoneycoach",False,None,CviCbZXp5pD,1
15,Investing and getting returns was all I ever wanted finally found it God bless you @miller_themoneycoach,False,None,CviCbZXp5pD,1
16,@d.mayoactor,False,None,CviCbZXp5pD,1
17,A fab way to relax and snack in the pool. 😊,False,None,CviCbZXp5pD,1
18,"I’m commenting this on your post because I have been blessed by her guidance and expertise, she helped me achieve my dreams @miller_themoneycoach",False,None,CviCbZXp5pD,0
19,How can I thank you enough she turned me from debtor to millionaire God bless you @miller_themoneycoach,False,None,CviCbZXp5pD,0
20,"I don’t praise people for any reason, the truth must be told good works deserve appreciation. We need more people like you @miller_themoneycoach",False,None,CviCbZXp5pD,0
21,On this day i want to share my genuine appreciation for you i wouldn’t be were i am today without you @miller_themoneycoach,False,None,CviCbZXp5pD,0
22,I am here to show appreciation to the lady that took me from zero to hero. Am so glad to be among your winning team. Thanks a lot @miller_themoneycoach,False,None,CviCbZXp5pD,0
23,"What more can I say than thanks, I went through the page for a few days and I was being scared but now I can build up my foundations with your efforts thanks a lot @miller_themoneycoach",False,None,CviCbZXp5pD,0
24,"Proved me wrong, she changed my life and my friends, today we are all grateful to her @miller_themoneycoach",False,None,CviCbZXp5pD,0
25,Oreo ganggggg🔥🔥🔥,False,None,CviCbZXp5pD,0
26,Wait no Open the laptop back and Google double stuffed strawberry creme oreos 👀,False,None,CviCbZXp5pD,0
27,Glad to see someone actually credit @sunday.scaries!!!,False,None,CviCbZXp5pD,0
28,@sunday.scaries,False,None,CviCbZXp5pD,0
29,#keeporeoglutenic,False,None,CviCbZXp5pD,0
30,Love,False,None,CviCbZXp5pD,0
31,👌,False,None,CviCbZXp5pD,0
32,Got sun block on those little ones? 🤣😂😉,False,None,CviCbZXp5pD,0
33,If Ik that they floated the pool parties would hit different,False,None,CviCbZXp5pD,0
34,😂😂😂,False,None,CviCbZXp5pD,0
35,😍😍😍,False,None,CviCbZXp5pD,0
36,🔥🔥🔥😍😍😍,False,None,CviCbZXp5pD,0
37,No son veggies si contienen leche en los ingredientes 😫 fui engañada,False,None,CviCbZXp5pD,0
38,Make them without soy please,False,None,CviCbZXp5pD,0
39,we should do collab @oreo 🍿🇺🇸🇨🇦,False,None,CviCbZXp5pD,0
40,Everyday is an oreo day😍😍😍,False,None,CviCbZXp5pD,0
41,❤️,False,None,CviCbZXp5pD,0
42,❤️,False,None,CviCbZXp5pD,0
43,🙌,False,None,CviCbZXp5pD,0
44,🙌,False,None,CviCbZXp5pD,0
45,😍,False,None,CviCbZXp5pD,0
46,🔥🔥🔥🔥,False,None,CviCbZXp5pD,0
47,👏,False,None,CviCbZXp5pD,0
48,Yummma😩😩😩,False,None,CviCbZXp5pD,0
49,😍😍😍😍😍,False,None,CviCbZXp5pD,0
50,Big mood! 🙌,False,None,CviCbZXp5pD,0
51,Jesus Is Lord 🙌,False,None,CviCbZXp5pD,0
52,🙌🙌🙌👏👏 y’all the real MVPs @oreo,False,None,CviCbZXp5pD,0
53,👏😍👍,False,None,CviCbZXp5pD,0
54,That would be an interesting flavor of Oreo,False,None,CviCbZXp5pD,0
55,Yum❤️🧡🧡😁🧡🧡❤️,False,None,CviCbZXp5pD,0
