ID,Text,Is_Activism,Category,Post_Id
1,This post sponsored by the big bad wolf,True,Environmental,CvsLdcNMj94
2,My uncle (who’s based) did this 30 years ago. Y’all are way behind,False,Environmental,CvsLdcNMj94
3,Patagonia is building low income housing for its store workers?,False,Environmental,CvsLdcNMj94
4,You know what's better. Hemp.,False,Environmental,CvsLdcNMj94
5,Hemp is better!!!,False,Environmental,CvsLdcNMj94
6,Waddle and daub baby,False,Environmental,CvsLdcNMj94
7,Yes! ❤️❤️❤️,False,Environmental,CvsLdcNMj94
8,www.goosesgallery.co.uk,False,Environmental,CvsLdcNMj94
9,@julien_lefrancq … avant gardiste!,False,Environmental,CvsLdcNMj94
10,My heart is singing💚🙏,True,Environmental,CvfJSnmrDE-
11,🌿💪,False,Environmental,CvfJSnmrDE-
12,💚💚💚💚💚💚💚,False,Environmental,CvfJSnmrDE-
13,👍,False,Environmental,CvfJSnmrDE-
14,🙌,False,Environmental,CvfJSnmrDE-
15,❤️,False,Environmental,CvfJSnmrDE-
16,❤️,False,Environmental,CvfJSnmrDE-
17,🥰,False,Environmental,CvfJSnmrDE-
18,❤️,False,Environmental,CvfJSnmrDE-
19,so cool!😍,False,Environmental,CvfJSnmrDE-
20,Interesting,False,Environmental,CvfJSnmrDE-
21,I love this! 😍,False,Environmental,CvfJSnmrDE-
22,I own a straw bale home and it’s the BEST. @tierravistaranch is our casita open to guests who want to experience a traditional timber frame.,False,Environmental,CvfJSnmrDE-
23,@hempitecture has entered the chat,False,Environmental,CvfJSnmrDE-
24,It was Great working on these projects. Hope to see more soon,False,Environmental,CvfJSnmrDE-
25,👏,False,Environmental,CvfJSnmrDE-
26,Talking about working with straw and stuff... Any ideas when the working overalls will be back in stock on the EU site? Have been waiting for ages 🥺,False,Environmental,CvfJSnmrDE-
27,"What about hemp instead of non native, European long grasses that destroy natural boi diversity and consume all the nutrients out of our soil.",False,Environmental,CvfJSnmrDE-
28,🤍🤍🤍,False,Environmental,CvfJSnmrDE-
29,We literally build with waste (forest debris and ag residues) at @dtematerials,False,Environmental,CvfJSnmrDE-
