ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,This is super amazing and shows that support in all angles of the sports arena are being treated as a serious matter. We need more of this in athletics.,True,social,CvNJJkVKrxR,0
2,"No recomiendo que hagan compra en su página web si el envió va un casillero, están cometiendo una serie de errores en la entrega.",False,social,CvNJJkVKrxR,0
3,Love this!!!!,False,social,CvNJJkVKrxR,0
4,👏👏👏👏,False,social,CvNJJkVKrxR,2
5,😍😍,False,social,CvNJJkVKrxR,0
6,❤️,False,social,CvNJJkVKrxR,1
7,🙌🙌🙌,False,social,CvNJJkVKrxR,1
8,😮😮😮,False,social,CvNJJkVKrxR,1
9,🔥🔥🔥🔥🔥,False,social,CvNJJkVKrxR,0
10,🔥,False,social,CvNJJkVKrxR,0
11,#freepalestine,False,social,CvNJJkVKrxR,2
12,@stephvieira since when are u on the avengers team??,False,social,CvNJJkVKrxR,1
13,This is interesting @puma Great initiative! 👏,False,social,CvNJJkVKrxR,0
14,kanka @ennergoatcia sponsor olsana,False,social,CvNJJkVKrxR,1
15,@ennergoatcia ya sponsor ol puma kardeş boydan gelmesi için,False,social,CvNJJkVKrxR,1
16,💫💫💫,False,social,CvNJJkVKrxR,0
17,"Hello. I ordered some shoes through the official puma website in my country, I was waiting for my shoes for the specified time, they told me that there was a delay in my order. Following the last day that the delivery would be made at my home, they informed me that they canceled my order due to lack of Stock, but the shoes were still available on the puma page in my country. They gave me a time to return the money, that was yesterday and I still do not have my money, I sent an email claiming and they tell me that supposedly the payment had already been made to my payment market account AND I PAYED WITH DEBIT. I WANT MY MONEY.",False,social,CvNJJkVKrxR,0
18,https://youtu.be/uv5q51HzC5c,False,social,CvNJJkVKrxR,0
19,❣️❣️❣️❣️❣️,False,social,CvNJJkVKrxR,0
20,.,False,social,CvNJJkVKrxR,0
21,Z,False,social,CvNJJkVKrxR,0
22,#boycottpuma for supporting Israeli illegal settlements and human rights abuses #bds,False,social,CvNJJkVKrxR,2
23,Boycotting @puma #freepalestine🇵🇸,False,social,CvNJJkVKrxR,0
24,😍😍😍,False,social,CvNJJkVKrxR,0
25,Projeto três grandes Puma Nike Adidas outras seguir padrão qualidade,False,social,CvNJJkVKrxR,0
26,"🇩🇪Hallo, mein Name ist Beknazar, ich bin Student. „Mit Ihrer Hilfe wollen wir… machen“, Sie würden sich sehr über ein erfolgreiches Projekt für Studierende freuen, wir wünschen Ihnen eine kleine Spende von 200-300💵 Dollar. Wir werden mit diesem Geld 📚Bücher 📽Projektor kaufen,",False,social,CvNJJkVKrxR,0
27,❤️‍🔥❤️‍🔥,False,None,CwUehWCNUMq,1
28,Ooooooo she looks GOOOD,False,None,CwUehWCNUMq,2
29,PLEASEEEE😭😭😭😭,False,None,CwUehWCNUMq,1
30,🔥🔥🔥🔥,False,None,CwUehWCNUMq,1
31,yesss🔥🔥🔥😍,False,None,CwUehWCNUMq,1
32,Queen❤️🔥,False,None,CwUehWCNUMq,1
33,Cool,False,None,CwUehWCNUMq,1
34,Perfecta 😍,False,None,CwUehWCNUMq,2
35,I would wear that outfit,False,None,CwUehWCNUMq,2
36,The CUTESTTTTT EVERRRRRR,False,None,CwUehWCNUMq,1
37,How you convinced her to do this?.,False,None,CwUehWCNUMq,1
38,Super cute,False,None,CwUehWCNUMq,4
39,@pumafootball let me down my man city jersey broke the same day I got it disappointed I had to settle with a replica,False,None,CwUehWCNUMq,0
40,@dualipa cutie,False,None,CwUehWCNUMq,1
41,"case number - 00208500 for complaint logged on 16-Aug-2023. No resplution yet, infact Puma India post sales service and customer support team is pathatic. Can you get this addressed on priority. @pumaindia",False,None,CwUehWCNUMq,0
42,❤️,False,None,CwUehWCNUMq,2
43,🔥🔥🔥,False,None,CwUehWCNUMq,1
44,Dua my boss,False,None,CwUehWCNUMq,1
45,Ayakkabı aldım 1 ay giydim taban çöktü ve firma 2 defa Red verdi koskoca puma neden ürününün arjasinda durmuyor,False,None,CwUehWCNUMq,0
