ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,That’s good! 💚,True,workplace,Cv-DWctydnX,0
2,❤️,False,workplace,Cv-DWctydnX,1
3,Extraordinary! 💚 Very well done. 👏👏👏,False,workplace,Cv-DWctydnX,0
4,🤎,False,workplace,Cv-DWctydnX,0
5,❤️,False,workplace,Cv-DWctydnX,0
6,3 Wo.Gefällt 1 MalAntworten,False,workplace,Cv-DWctydnX,0
7,Sup everyone 🌻,False,workplace,Cv-DWctydnX,0
8,Aí sim 😉🤎☕️,False,workplace,Cv-DWctydnX,0
9,❤️❤️,False,workplace,Cv-DWctydnX,0
10,❤️🙌,False,workplace,Cv-DWctydnX,0
11,Really aweosme ❤️❤️❤️,False,workplace,Cv-DWctydnX,0
12,Such a beautiful coffee that is giving back to the community! 💚,False,workplace,Cv-DWctydnX,7
13,@starbucks we have a Starbucks story that needs to be heard!,False,workplace,Cv-DWctydnX,0
14,It warms my heart that this is helping mothers 💚 it’s like a full 360 effect. I am inspired by you @starbucks,False,workplace,Cv-DWctydnX,0
15,👏🏿👏🏾,False,workplace,Cv-DWctydnX,0
16,💖💖,False,workplace,Cv-DWctydnX,0
17,😍👏,False,workplace,Cv-DWctydnX,0
18,I am grateful for this work that is delivered with such dedication! 💚👏🏻,False,workplace,Cv-DWctydnX,4
19,💚✨☕,False,workplace,Cv-DWctydnX,0
20,🔥🔥🔥🔥🙌,False,workplace,Cv-DWctydnX,0
21,@starbucks 💚,False,workplace,Cv-DWctydnX,1
22,"Please Starbucks. Stop with the cheasy ""influencers."" Tacky.",False,None,CvvLcH7P3a-,109
23,I went to Starbucks in target and I ordered a Java chip frap after 12 and they didn’t give me the coupon and when I asked about it after they gave me my order they said they can’t give it to me. Not a good way to spend the last Winsday ☹️,False,None,CvvLcH7P3a-,20
24,Is that me?! 😂 why yes it is,False,None,CvvLcH7P3a-,4
25,I just finished mine — no lies detected! 😌,False,None,CvvLcH7P3a-,11
26,This is my sign to go get an iced coffee😂,False,None,CvvLcH7P3a-,19
27,I feel you on that.,False,None,CvvLcH7P3a-,0
28,Iced always ❤️,False,None,CvvLcH7P3a-,4
29,I love my cold brew!😂,False,None,CvvLcH7P3a-,7
30,Or maybe a Mocha frappe instead..😋,False,None,CvvLcH7P3a-,7
31,It really turns my day around 👏,False,None,CvvLcH7P3a-,93
32,"She is me, I am her. Yes girl 🙌 omw now for the fix! ☕️",False,None,CvvLcH7P3a-,0
33,Or maybe a pink drink (with water no lemonade) 😌💗,False,None,CvvLcH7P3a-,2
34,ok but what if I need one everyday,False,None,CvvLcH7P3a-,2
35,Another snooty person repping starbucks. Can't you ever film the everyday person drinking this stuff? Everyone is always so hoity,False,None,CvvLcH7P3a-,2
36,It fixes everything 😍😂,False,None,CvvLcH7P3a-,0
37,Going a day without an iced coffee should be illegal😭,False,None,CvvLcH7P3a-,8
38,Me with the Frappuccino 😍,False,None,CvvLcH7P3a-,0
39,So me,False,None,CvvLcH7P3a-,0
40,my mood before a strawberry acai: 😢. my mood after a strawberry acai: 😍,False,None,CvvLcH7P3a-,2
41,"I just finished a vanilla bean crème frappe, thought I'd like something different. No. Wish I'd had my usual iced mocha. ☹️",False,None,CvvLcH7P3a-,7
42,😂😂😂😂yup,False,None,CvvLcH7P3a-,0
43,Yes 🙌🩷,False,None,CvvLcH7P3a-,0
44,So true 😄,False,None,CvvLcH7P3a-,0
45,What kind of iced coffee do you have,False,None,CvvLcH7P3a-,0
46,❤️,False,None,CvvLcH7P3a-,3
47,I just can’t bring myself to cheat on the Iced Matcha,False,None,CvvLcH7P3a-,1
48,Love my chocolate cream cold brew! 🤎,False,None,CvvLcH7P3a-,2
49,"One day I was weeping at all the horrors of the world, but then I drank an iced coffee and realized I was being silly",False,None,CvvLcH7P3a-,4
50,I agree! 💚🧋,False,None,CvvLcH7P3a-,0
51,Who else loves poetry?,False,None,CvvLcH7P3a-,1
52,@catehowlett sometimes,False,None,CvvLcH7P3a-,1
53,😍😍,False,None,CvvLcH7P3a-,1
54,Colors are poppen! She's adorable! Cheers to Bucks always making a day better! 💚💗,False,None,CvvLcH7P3a-,2
55,4 Wo.Gefällt 6 MalAntworten,False,None,CvvLcH7P3a-,0
56,❤️❤️❤️,False,None,CvvLcH7P3a-,0
57,I love me a nice iced coffee too,False,None,CvvLcH7P3a-,2
58,❤️❤️❤️,False,None,CvvLcH7P3a-,3
59,😂,False,None,CvvLcH7P3a-,0
60,I will see you soon Starbucks ✨🦬☕️,False,None,CvvLcH7P3a-,0
61,@coffeeandcuddles_,False,None,CvvLcH7P3a-,1
62,👍👍👍❤❤❤,False,None,CvvLcH7P3a-,2
63,@s.j.mell see 😂😂😂,False,None,CvvLcH7P3a-,2
64,@xtinapye,False,None,CvvLcH7P3a-,1
65,😍😍😍😍😍😍😍,False,None,CvvLcH7P3a-,1
66,🤮🤮🤮,False,None,CvvLcH7P3a-,2
67,@berreswinnen guilty,False,None,CvvLcH7P3a-,0
68,@kar3n____reyes,False,None,CvvLcH7P3a-,0
69,👏👏👏,False,None,CvvLcH7P3a-,1
70,@nabors.jack,False,None,CvvLcH7P3a-,1
71,❤️❤️❤️,False,None,CvvLcH7P3a-,2
72,Yummy,False,None,CvvLcH7P3a-,1
73,Trueee,False,None,CvvLcH7P3a-,1
74,Exactlyyy! ☕,False,None,CvvLcH7P3a-,1
75,Yeah 👍😂,False,None,CvvLcH7P3a-,1
76,I tried to get a 50% off cold brew today for the Wednesday special and BOTH of the Starbucks I go to were out. So bummed. They often run these promotions but then sell out of stuff. Very frustrating.,False,None,CvvLcH7P3a-,1
77,That's a great idea!!! 👍,False,None,CvvLcH7P3a-,1
78,love it! 💚,False,None,CvvLcH7P3a-,1
79,TRUTH!,False,None,CvvLcH7P3a-,1
80,Had an iced latte coffee ☕️ today and oleato yesterday it was really smooth,False,None,CvvLcH7P3a-,1
81,@tonio2010gd me everyday,False,None,CvvLcH7P3a-,2
82,Always makes the day better!! 😊,False,None,CvvLcH7P3a-,1
83,Absolute truth. Nothing a grande iced americano with one pump of mocha and a light splash of cream cannot fix 🥰💖☕️,False,None,CvvLcH7P3a-,1
84,Same! There's nothing iced coffee can't fix ❤️,False,None,CvvLcH7P3a-,1
85,ymmm😍,False,None,CvvLcH7P3a-,1
86,@mrsmaczuga21 us. 😂,False,None,CvvLcH7P3a-,1
87,😂😂😂,False,None,CvvLcH7P3a-,1
88,"I was having a good day, but then also I needed a ice coffee😛😭👍🏻",False,None,CvvLcH7P3a-,1
89,My girl,False,None,CvvLcH7P3a-,1
90,Co＠o＠l👍😎,False,None,CvvLcH7P3a-,1
91,@thelaurennorris,False,None,CvvLcH7P3a-,1
92,@thelaurennorris,False,None,CvvLcH7P3a-,1
93,Looks like a Barbie car !!,False,None,CvvLcH7P3a-,1
94,"I love starburst but I’m trying to stay away from sugar, any options? My favorite drink is Carmel machiato or Carme Frappuccino",False,None,CvvLcH7P3a-,1
95,Amen,False,None,CvvLcH7P3a-,1
96,Jerrica!!,False,None,CvvLcH7P3a-,1
97,"@starbucks This is totally me!!!! Stop living in my brain!!!! LOL! Sidebar, PSL Season should be expedited to now!!!!!😉",False,None,CvvLcH7P3a-,1
98,FINE ILL GO TO STARBUCKS😭,False,None,CvvLcH7P3a-,1
99,@starbucks is your caramel syrup/drizzle kosher?,False,None,CvvLcH7P3a-,1
100,I WENT TO @starbucks AND I ENJOYED EVERY SIP! I LOVE YOUR ICED COFFEE!,False,None,CvvLcH7P3a-,1
101,@thelaurennorris omg!!!!!!!!,False,None,CvvLcH7P3a-,1
102,I’m so addicted to my ice latte that one zip I’m in heaven..,False,None,CvvLcH7P3a-,1
103,Sup everyone 🌻,False,None,CvvLcH7P3a-,1
104,🍫,False,None,CvvLcH7P3a-,1
105,@thelaurennorris 🩷☕️,False,None,CvvLcH7P3a-,1
106,@thelaurennorris omg ily,False,None,CvvLcH7P3a-,1
107,Word.,False,None,CvvLcH7P3a-,1
