ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,"….wait, is this for posting a masculine appearing person putting on makeup? 😂😂 y’all. It’s 2023. Ppl need to get over it.",True,social,CwX50n2PtLc,20
2,"Love this 🙌 I don't understand why people think they are entitled to comment someone's appearance, sexuality, gender, ethnicity etc. Don't like the video, move on. No one wants you here anyway",False,social,CwX50n2PtLc,25
3,More companies should follow this example I swear so many encourage it for “engagement”,False,social,CwX50n2PtLc,7
4,"Remember disability also, a lot of people call out hateful behaviour using abelist language 💚",False,social,CwX50n2PtLc,19
5,this should be the norm 👏,False,social,CwX50n2PtLc,16
6,"The Body Shop, leaders in kindness and compassion 💚",False,social,CwX50n2PtLc,9
7,Haters are just jealous they can’t do their makeup as well as us guys,False,social,CwX50n2PtLc,28
8,"Thank you Body Shop, will always shop for my friends and family at your stores ❤️",False,social,CwX50n2PtLc,3
9,Very well said. On one of your posts yesterday it certainly got out of hand. And yet many claim they are kind and loving on their profiles. But most certainly aren't. ❤️,False,social,CwX50n2PtLc,38
10,This should absolutely be the norm! Thank you 👏🏾👏🏾,False,social,CwX50n2PtLc,4
11,"Very very well said, the is no room for hate speech anywhere",False,social,CwX50n2PtLc,36
12,Thank you so much for this. 💚💚,False,social,CwX50n2PtLc,3
13,More pages should!,False,social,CwX50n2PtLc,1
14,Honestly i didn't like the post but i didn't make any comments but i prefer unfollow and don't shop your products. But must respect all the comments of your followers and don't asume that you are right,False,social,CwX50n2PtLc,14
15,I just wish this could be dine in person because some people feel so emboldened to insult you once their point is unravelled in real time. Keep up the good work fighting all forms of discrimination @thebodyshop 🔥❤️🔥,False,social,CwX50n2PtLc,2
16,Yasss we love a brand who speaks up,False,social,CwX50n2PtLc,2
17,Sometimes people mix those 2 points the one with discussion or hate speech!,False,social,CwX50n2PtLc,1
18,I like The Body Shop even more now!❤️,False,social,CwX50n2PtLc,2
19,Thank you for this. 💚💚,False,social,CwX50n2PtLc,2
20,👏👏👏Out with hate speech…but back in with the Seaweed range here in the UK…? 👀🙏😀,False,social,CwX50n2PtLc,4
21,Love and support this ❤️❤️,False,social,CwX50n2PtLc,2
22,"Fuck, lots of people getting their knickers in a twist over men wearing make-up, it's been done for centuries, from the Egyptians through to punks and New Romantics (to name but a few!) ... get a grip peeps, worse things happen at sea... 😵‍💫",False,social,CwX50n2PtLc,4
23,Be kind❤️,False,social,CwX50n2PtLc,2
24,Couldn’t agree more 🙏🏻💚💚,False,social,CwX50n2PtLc,2
25,❤️🙌🙌 here here 👏😍😍😍,False,social,CwX50n2PtLc,2
26,👏🏿👏🏿👍🏿💚 Definitely,False,social,CwX50n2PtLc,3
27,Thank you. 👏👏👏🙂🏳️‍🌈🏳️‍⚧️💚,False,social,CwX50n2PtLc,2
28,Way to go @bodyshop 👏,False,social,CwX50n2PtLc,2
29,💚🫶🏼💚,False,social,CwX50n2PtLc,28
30,"You mean ""free speech"" 🤔",False,social,CwX50n2PtLc,2
31,With Body Shop we stand ! 👏,False,social,CwX50n2PtLc,1
32,Love @thebodyshop since the beginning...lots of ❤️ from Argentina...Annita Roddick forever❤️🙏,False,social,CwX50n2PtLc,2
33,Love this so much!! And I love the body shop! Love always wins! 💚💚💚,False,social,CwX50n2PtLc,2
34,👏,False,social,CwX50n2PtLc,1
35,Brilliant others to follow please 👏👏👏,False,social,CwX50n2PtLc,5
36,👏👏❤️,False,social,CwX50n2PtLc,2
37,👏👏👏,False,social,CwX50n2PtLc,3
38,❤️❤️❤️❤️❤️,False,social,CwX50n2PtLc,2
39,"The body shop has always supported inclusivity and LGBTQ+ rights, making an effort to be a socially responsible organisation is many ways. Guessing these trolls were not actually customers anyway just random bigots looking online for stuff to be offended about 🙄 I was personally offended by the guys skill compared mine. If I tried that look I'd end up looking like a Picasso Painting 😂",False,social,CwX50n2PtLc,1
