ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,How do I get my lost item when I forget it in a vehicle? I called driver using the app and it’s now over 3 days ain’t getting help from your desk!! Am in Tanzania,True,social,CwDTGFAOQEO,2
2,"I've been messaging the help center for a week, but no response. Please respond to my messages.",False,social,CwDTGFAOQEO,2
3,"I left a work file in the Uber, and I requested the driver to check, within 5 to 10 minutes. I’ve been trying to get in contact. It is 3 days afterwards and I still have not heard back from Uber.",False,social,CwDTGFAOQEO,9
4,"Uber is the worst app and I regret using it,I left my phone for over 2 days now and Uber is yet to connect me to the driver....is this not wickedness",False,social,CwDTGFAOQEO,3
5,A company that is so well known worldwide and discriminates against people who want to work with them with some mistake that in the past could be made hiding in a said external security agency that denies or approves drivers in Colombia,False,social,CwDTGFAOQEO,0
6,🥰🥰🥰,False,social,CwDTGFAOQEO,2
7,"Hi, contact through your dm about my refund issue. Please check it for me. Thank you",False,social,CwDTGFAOQEO,2
8,How bout u donate the uber fees tht u take from driver deliveries. Says ill earn 10 dollars and then you guys take 7..... donate tht,False,social,CwDTGFAOQEO,2
9,Amazing campaign here,False,social,CwDTGFAOQEO,2
10,earning for uber eats is very low and not good to support the increassing cost in vancouver please adjust,False,social,CwDTGFAOQEO,12
11,Coolest 😎🙌,False,social,CwDTGFAOQEO,1
12,why did you guys disable my account for no reason and I’m unable to make a new account I was drinking last night and couldn’t order a Uber SMFH !!!!!!!!!!!!!!,False,social,CwDTGFAOQEO,2
13,Sent you a DM,False,social,CwDTGFAOQEO,1
14,@uber I have sent a message to customer service 2 days ago about a situation with a driver being unsafe. Also falsely reported that something was spilled in his car and was charged $150 dollars. I don’t understand that no one has gotten back to me yet.,False,social,CwDTGFAOQEO,1
15,@uber deactivated my account for a false claim customer made. I appealed but y’all rejected. I have dash cam of everything on that platform ever since I was driving with you guys. I always respond with proofs/evidence. A lying customer made me lost my job. @uber I’m still jobless because of this. Look into my case and help reactivate my account. I still got evidences of the claim.,False,social,CwDTGFAOQEO,2
16,"I'm working at Hawaii for Uber ! I always drive late at night. But the night is always full of unstable factors. It was just before two o'clock in the morning when I got a pick-up request outside a bar. When I got to the gate, a third person came up and kicked my car and insulted me. As soon as I got out of the car, I called the police and left the perpetrator behind. Passenger waiting to board and report to Uber that I am having an altercation with a third party. Later, the passenger canceled the ride, and Uber's security team called me, asked me to provide what happened, and permanently deactivated my account. I don't think it's my fault. In fact, I've been working at Uber for a year now. My rating is consistently above 4.97 and I drive over 4000 trips in a year. Uber deactivated my account, no one really knew what was going on, and the customer reported me to Uber without even getting in the car. At this point, I lost my means of earning a living just because I met a madman on the road",False,social,CwDTGFAOQEO,15
17,Acabo de hacer un viaje y el destino que le figuraba al chofer no era el mismo que solicité. Lo pueden verificar fácilmente. Obviamente le pagué igual el viaje porque no fue su culpa pero yo tuve que gastar el doble y en la aplicación no me dejan reclamar nada!!,False,social,CwDTGFAOQEO,4
18,"A uber tá com sacanagem meu irmão. Colocando pra pegar o passageiro com 5k e deixar 10k e pagando 6,50 aqui em Fortaleza 🤧🤧🤧 @uber @uber_br",False,social,CwDTGFAOQEO,1
19,"Aplicativo da Uber , fui bloqueado injustamente , nunca tive o direito de falar o porquê que eu errei no aplicativo. Fui bloqueado injustamente por causa de um documento enviado do carro.",False,social,CwDTGFAOQEO,2
20,Que taxas são essa uber tão ruim .,False,social,CwDTGFAOQEO,1
21,"Fiz uma compra no uber mercado de 480,00 no dia 03/06. Me cobraram 490,00 dizendo que era uma pre autorização, nao ajustaram o valor, colocaram a culpa no banco e agora estao me cobrando os 480,00 de novo no aplicativo. Me passam links que nao tem nada a ver e nao resolvem meu problema!",False,social,CwDTGFAOQEO,1
22,@uber cadê meu dinheiro que vocês deitaram indevidamente??,False,social,CwDTGFAOQEO,2
23,Estão cobrando duas vezes pelas viagens,False,social,CwDTGFAOQEO,1
24,If somebody admitted in an hospital then how come his gps location was continuously moving first he went to sector 49 gurgaon then to Airport and then he came back to his residence.,False,social,CwDTGFAOQEO,0
25,Sent you a DM,False,social,CwDTGFAOQEO,0
26,"@uber, you should donate the money to the Maui people, not the passengers. If a single person wants to donate by themselves, it is their business. Not through the big companies",False,social,CwDTGFAOQEO,1
27,estou desempregada era tudo que eu tinha 😢,False,social,CwDTGFAOQEO,1
28,Fui bloqueado a 5 anos atrás...... Uber não dá direito ao motorista para se pronunciar sobre o acontecido..... infelizmente é assim no Brasil 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,False,social,CwDTGFAOQEO,1
29,Your rider has stolen my parcel,False,social,CwDTGFAOQEO,0
30,"Worst service ever, they don't have support, they will take your money without letting you know",False,social,CwDTGFAOQEO,37
