ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,What about supporting a terrorist regime?,True,Environmental,CwiSq1QsMIA,11
2,Still doing business in Ruzzia🤮🤬. Shame on you!,False,Environmental,CwiSq1QsMIA,10
3,What’s the difference between a blacklisted sponsor of terror and a moral company?,False,Environmental,CwiSq1QsMIA,7
4,The difference doesn't matter to the 500 dead children murdered with Unilever's profits.,False,Environmental,CwiSq1QsMIA,4
5,Amazing how you can talk about values while supporting Putin.,False,Environmental,CwiSq1QsMIA,6
6,"What's the difference between supporting rape, kidnapping & killing or not? 🇺🇦🇺🇦🇺🇦",False,Environmental,CwiSq1QsMIA,0
7,"Climate change and global warming? #exitrussia Stop supporting terrorist, stop ecocide in Ukraine!",False,Environmental,CwiSq1QsMIA,6
8,👏👏👏,False,Environmental,CwiSq1QsMIA,1
9,❤️,False,Environmental,CwiSq1QsMIA,1
10,"You need to reverse the impact of climate change, which includes global warming, water levels, soil quality, animal and specie extinction to get optimum results. @unilever #paulpolman @unitednations @who",False,Environmental,CwiSq1QsMIA,0
11,Terrorists,False,Environmental,CwiSq1QsMIA,0
12,im.,False,None,CvhoujhN63k,0
13,Stop funding the war! Our blood is also on your hands,False,None,CvhoujhN63k,114
14,Are these sheets any useful for soaking up the blood of innocent civilians murdered by the fascist regime UniEvil is partnering with in Russia? You paid 42 million in taxes last year to support Putin’s war machine. How does CEO Hein Schumacher sleep at night? On a bed of rubles.,False,None,CvhoujhN63k,186
15,Money is more important than thousands of Ukrainian lives? According to you - yes!,False,None,CvhoujhN63k,84
16,Stop funding ruzzia and it's international terrorism with your taxes!! #RUSSIANWARCRIMES #russiaisaterroriststate #bloodmoney #boycottrussia,False,None,CvhoujhN63k,46
17,Unilever is funding the War!,False,None,CvhoujhN63k,74
18,"How could you? How could you support this? Continue taking Russian money?! Continue giving Russia money? Why are you trying to help kill my loved ones?! What side of history do you want to be on? We may be small now, 10-20 comments. Wait til it’s been a year. Do you like your company? Do you want people to keep buying your products? STOP FUNDING GENOCIDE!!!!!!",False,None,CvhoujhN63k,97
19,Stop sponsoring war. Every one of you has blood on your hands. You are literally buying weapons for the Russian army with the tax that you pay.,False,None,CvhoujhN63k,17
20,Just so you know #russiaisaterroriststate,False,None,CvhoujhN63k,73
21,"Dirt is good says a dirty company, supporting #russiaisaterroriststate",False,None,CvhoujhN63k,37
22,International sponsor of war!,False,None,CvhoujhN63k,39
23,Unilever is funding the War,False,None,CvhoujhN63k,99
24,#unilverisasponsorofterrorism,False,None,CvhoujhN63k,14
25,Will your washing powder get rid of the blood stains left after a 23 day old baby girl was blown to bits today by missiles funded by Unilever's Russian taxes?,False,None,CvhoujhN63k,2
26,"We are pioneers, innovators & future-makers. We are making sustainable living commonplace. We are Unilever. WE ARE A SPONSOR OF A RUSSIAN TERRORISM. SHAME ON YOU.",False,None,CvhoujhN63k,52
27,"@unilever you are directly financing terror against the civilian population of Ukraine. with your cynical desire for profit, you have trampled all the values of morality, civilization and humanity. Total boycott.",False,None,CvhoujhN63k,36
28,"Stop supporting the war, the Russian invasion, the killing of Ukrainians",False,None,CvhoujhN63k,27
29,Stop sponsoring RUSSIA!,False,None,CvhoujhN63k,31
30,International sponsor of war!,False,None,CvhoujhN63k,12
31,@unilever international sponsor of war❌❌❌❌❌❌❌❌❌❌❌❌#russiaisaterroriststate,False,None,CvhoujhN63k,9
32,Stop funding the war in Ukraine. You delivered taxes that pay rockets. Our blood in your hands!,False,None,CvhoujhN63k,17
33,"Unilever is a sponsor of war, by supporting ruzzia.",False,None,CvhoujhN63k,18
34,#russiaisaterroriststate stop funding the war,False,None,CvhoujhN63k,29
