ID,Text,Is_Activism,Category,Post_Id,Like_Count
1,Does it take 3x times longer to deliver the supplies like it does any other package yall are in charge of?,True,Environmental,CwIIcvks6Yd,2
2,I'm tryna get the 170k per year,False,Environmental,CwIIcvks6Yd,2
3,👏👏❤️❤️❤️ it,False,Environmental,CwIIcvks6Yd,1
4,3 Wo.Gefällt 3 MalAntworten,False,Environmental,CwIIcvks6Yd,0
5,👏❤️,False,Environmental,CwIIcvks6Yd,2
6,Good Job,False,Environmental,CwIIcvks6Yd,2
7,Great work! Thank you 🙌,False,Environmental,CwIIcvks6Yd,1
8,Where is my package @ups,False,Environmental,CwIIcvks6Yd,0
9,🤡🤡🤡 with 0 reliability @ups,False,Environmental,CwIIcvks6Yd,0
10,Bro I need a job is the 100k a year real?????,False,None,CvqablgRNDy,4
11,Being an ups service provider is no easy job somehow some way we always stay positive and take care of others in the most positive way. Great job Spencer!,False,None,CvqablgRNDy,3
12,Amazing story! How sweet!,False,None,CvqablgRNDy,2
13,Nicely done Spencer 😊,False,None,CvqablgRNDy,2
14,This is such a sweet and wonderful story.,False,None,CvqablgRNDy,3
15,Amazing!,False,None,CvqablgRNDy,1
16,Can you please tell me why tf my parcel been delayed a month,False,None,CvqablgRNDy,1
17,👏,False,None,CvqablgRNDy,2
18,👏🏻👏🏻,False,None,CvqablgRNDy,1
19,"Multiple multiple packages have gotten lost at the Middleton Pennsylvania ups facility recently and no one will do anything about it. Support won’t help, won’t let you open a case, and won’t give you a solution. You can’t even go to the facility to speak to anyone.",False,None,CvqablgRNDy,0
20,Hey UPS everyday your delivery men come up to my LOCKED gate. And everyday I see them try to by pass my lock and reach around my gate and try to open up my locked property by reaching over the gate and using the interior door handle. Can you please train your employees that if a property is locked that just because they are UPS dosent mean they can by pass a locked gate? I would call but this would mean I have to call everyday for every driver. It’s ridiculous.,False,None,CvqablgRNDy,0
21,"Atencion al cliente es horible, no tenemos respuestas.",False,None,CvqablgRNDy,1
22,Your service is very very poor. This is almost a month that I haven’t seen my good you told me to DM without providing a solution. I’ve email close to ten location in MO USA to ask if my good is there they told me that it has been delivered without showing the exact address. Your service is poor @ups. I wish they can just reject the delivery rather than pending my good.,False,None,CvqablgRNDy,0
23,"UPS Austria is worst company ever, very very terrible customer support. Always misleading us. We are struggling to receive our package since three weeks and no one called us as promised and no one doing anything about it. Even customer support employees are so untrained and rude that they hang up on customers. I don't recommend you to anyone and I'm escalating this matter legally if you don't fix this mess.",False,None,CvqablgRNDy,2
24,"Thank you for another successful withdrawals sent today, you are the best and promise to spread your good works to the world @isabella_funds_1",False,None,CvqablgRNDy,0
25,I write this because I want you to know you are doing something that really helps people to achieve their goal to become a self confident trader @isabella_funds_1🥶🥶🥶🥶🥶🥶🥶🥶🥶🥶,False,None,CvqablgRNDy,0
26,Decided to act on faith instead of fear. I’m now reaping on the rewards of that bold step and making more than could even imagine all thanks to an amazing man @isabella_funds_1♥️♥️♥️,False,None,CvqablgRNDy,0
27,I must testify about this great achievuement and your platform on how you changed my life financially @isabella_funds_1☎️ she is very nice,False,None,CvqablgRNDy,0
28,When y’all gonna shout me out @ups,False,None,CvqablgRNDy,0
29,Doug Heffernen,False,None,CvqablgRNDy,0
30,"That’s nice of you for keeping the good relationship, I can see you have put smile on his face, so shall God keeps blessing you 👏",False,None,CvqablgRNDy,0
31,"Quiero saber por qué uno de sus empleados tiene la capacidad de abrir un paquete en alguna parte del camino quitarle más de 3kg de contenido valorados en 300€ y por que la empresa lleva dos semanas haciéndose la loca sin contestar ni a emails ni al teléfono, no me dejan poner una reclamación y nadie se hace cargo.",False,None,CvqablgRNDy,0
32,@ups y’all hiring,False,None,CvqablgRNDy,0
33,"Something needs done with your Middletown, PA hub. Multiple packages held up there and no reasoning given whatsoever. I called your support and escalated to a supervisor who tried to call Middletown while I was on hold and they got no answer. Figure out your issues at Middletown!!",False,None,CvqablgRNDy,0
34,"Any knuckle dragger can put packages on the porch, it is the heart of a Champion that sees people and does both.",False,None,CvqablgRNDy,0
35,I've been waiting for my lost suitcases for 1 month!! turn now!,False,None,CvqablgRNDy,0
36,Looks like supervisor forcible touching to me,False,None,CvqablgRNDy,0
37,Thank you ups for the excellent service over the phone.,False,None,CvqablgRNDy,0
38,It is impossible to discuss the issue of theft of money from the card on the website. Your company does not answer letters!,False,None,CvqablgRNDy,0
39,Mi pedido ha estado con ustedes desde el 24 de julio y ustedes no me lo entregan y se les ha solicitado de mil forma y aún no lo entregan,False,None,CvqablgRNDy,0
40,can you help me urgently @ups,False,None,CvqablgRNDy,0
41,Belle homme,False,None,CvqablgRNDy,0
42,It’s a miracle when I receive a package on the day it’s designated. Eight out of ten times I get a notice that it’s running late. So frustrating.,False,None,CvqablgRNDy,0
43,You think I can get a call back by one of your humans???? Ups is failing me!,False,None,CvqablgRNDy,0
44,Please I need my package I need @ups to reply to me please,False,None,CvqablgRNDy,0
45,WYATT COULD DEFINITELY DELIVER PACKAGES BETTER THAN ANY EMPLOYEE UPS HAS NOW. PLEASE HIRE HIM INSTEAD.,False,None,CvqablgRNDy,0
46,Worst experience ever!!!! The automated system sucks and makes you go in circles to NEVER connect you with anyone!!!!!! You have lost my package and don’t have the decency to give me a HUMAN BEING to help!!!!,False,None,CvqablgRNDy,0
47,"Ups are the worst companies, nothing work here you sent packet from Afrika to Europe they refused to deliver your parcel for 1 month then everything got spoiled then custom said parcel can not enter the country. This ups company sucks 🤮🤮🤮🤮🤮🤮😡😡😡😡",False,None,CvqablgRNDy,0
48,Nice job.i recently retired from UPS had great career did almost 35 years at GRANDE VISTA facicility retired april 28. 2023 had my retirement party where they surprised me with a frame with my uniform and memorabilia of UPS they told me it was not finished and would later ship it to me I’m still waiting for it think they completely for got about me after my retirement 😔,False,None,CvqH4YhJcK_,3
49,Congratulations Coco Gauff ❤️,False,None,CvqH4YhJcK_,1
50,Hi! I have an email showing my package was delivered and signed for neither was by me. Help! I need my package not the wait of submitting a claim.,False,None,CvqH4YhJcK_,0
51,🔥🔥🔥🔥🔥,False,None,CvqH4YhJcK_,3
52,My package has been stuck for 20 days!!!! I want to receive it NOW!!,False,None,CvqH4YhJcK_,0
53,YES!!! Go COCO!,False,None,CvqH4YhJcK_,1
54,"How much do you pay to sponsor her, but can’t pay your part time employees a livable wage?",False,None,CvqH4YhJcK_,5
